楼盘名称,平米数,总价,单价
东单协和【中国海关】电梯直达三居室 视野开阔采光好,82.26平米,710,"86,312元/平"
东城区二环里天坛南门一层精装修产权清晰全明格局。,53.26平米,463,"86,933元/平"
新上南北通透，靠谱卖，低层省去爬楼，产权清晰,50.12平米,549,"109,538元/平"
龙体区域 通透两室一厅 2层 1995年建,62.18平米,550,"88,453元/平"
东城 崇文门 南北通透三居室 高层电梯满五唯一,65.29平米,695,"106,449元/平"
老东城 景东 朝南2居 满五唯一 高层 视野开阔 采光好,66.47平米,749,"112,683元/平"
青年湖西里，40W婚房精装修！采光好，中间层,55.2平米,690,"125,000元/平"
兴隆都市馨园 1室1厅 南,53.15平米,518,"97,461元/平"
总监推荐   安贞苑50号院   楼龄新   南北向   采光好,65.65平米,786,"119,726元/平"
南向无遮挡 满五唯一商品房 永定门外地铁站 装修不错,43.16平米,375,"86,887元/平"
东直门海晟名苑北区，西向开间精装修拎包入住人车分流,45.62平米,463,"101,491元/平"
453万，二环里，东城区，04年小区，落地窗！,49.36平米,453,"91,775元/平"
东城区永定门外地铁口南向满五唯一商品房,40.96平米,346,"84,473元/平"
和平里中街3号院高楼层两居室有电梯楼龄新有地库,75.82平米,868,"114,482元/平"
中科院家属楼，精装南北通透挂西窗全明格局楼层采光好,76.97平米,899,"116,799元/平"
东城区，户型方正，2居室，随时签约,40.39平米,478,"118,347元/平"
东城区，南北通透两居室，大客厅，中间层，无遮挡。,70.61平米,465,"65,855元/平"
前门正义路 东南西 三面采光 成本价 有钥匙 产权清晰,72.77平米,700,"96,194元/平"
新景家园西区 全凸南向大一居 精装修满五年 只有契税,56.74平米,659,"116,144元/平"
东直门外小户型一居室诚意出售，业主承担1%服务费,38.53平米,406,"105,373元/平"
东城 悠胜美苑 精装一居室 楼龄新 不临街,64.44平米,555,"86,127元/平"
新上十字坡东里 南向中间层，看房方便， 采光棒无遮挡,37.73平米,485,"128,545元/平"
光明楼，南北通透一居明厨明卫，满五年唯一楼龄新,42.1平米,470,"111,639元/平"
工人日报社一居室，楼龄新小区好,39.68平米,485,"122,228元/平"
西城
文兴东街3号院 建筑设计院家属楼 南北通透 满5年,51.9平米,616,"118,690元/平"
南礼士路甲62号院  小区环境好 前后不临街 采光好,61.5平米,750,"121,952元/平"
1984年展览路全明两居室 把边亮堂 随时签约,55.3平米,690,"124,774元/平"
爱民里小区  南北通透大三居  采光好  诚心出售,96.8平米,1290,"133,265元/平"
阜成门外北四巷南北通透四居室，采光好,121.2平米,1330,"109,736元/平"
总监推荐西城鸭子桥南里南北通透3居室满五年唯一,60.39平米,485,"80,312元/平"
永居东里  中间楼层，朝东两居室,43.9平米,429,"97,723元/平"
三面采光 满五一套 中低楼层 产权干净 1公里内配套全,64.3平米,820,"127,528元/平"
三里河东路7号院  满五年唯一  南向 精装修  月坛商圈,51.3平米,690,"134,503元/平"
北顺城街11号院  南北通透  全明格局三居室,63.4平米,811,"127,918元/平"
新街口西里三区中间层客厅大一局室,51.15平米,618,"120,822元/平"
复兴门北大街  电梯直达 采光好,77.5平米,990,"127,742元/平"
三里河三区中间楼层南向带装修，改造过能停车,50平米,798,"159,600元/平"
马连道路甲18号院，南北通透，非顶层，无遮挡，视野好,62.31平米,499,"80,084元/平"
西城区 南北通透两居 明厨明卫 近地铁,54.71平米,529,"96,692元/平"
月坛北街 老业主 满五唯一 房本面积和使用面积一样大,47.4平米,720,"151,899元/平"
2008年建成考拉社区大满五年唯一商品房,60.83平米,555,"91,238元/平"
格调小区西南两居室高楼层朝向好户型方正,108.05平米,1198,"110,875元/平"
西城区 广外三义东里 南北通透三居室 中间楼层,60.34平米,580,"96,122元/平"
阜成门田字格三居精装修中间层无遮挡,92.6平米,990,"106,912元/平"
京剧院宿舍  电梯直达，西南向大客厅  卫生间干湿分离,64.8平米,830,"128,087元/平"
满五年唯一正规两居室，主朝西向，采光好，小区环境好,78.18平米,930,"118,957元/平"
汽南小区楼龄新南北向无遮挡不临街满五年央产房,84.7平米,1150,"135,774元/平"
信和嘉园 2008年商品房小区 高层板楼 两梯五户,122.98平米,1560,"126,850元/平"
展览路单独管理的院 停车方便 视野好,67.6平米,615,"90,977元/平"
核桃园田字格三居室，满五唯一 交通便利,75.24平米,700,"93,036元/平"
塔院胡同12号院优质两居室，南北通透，满五年唯一,57.3平米,725,"126,528元/平"
铁道部家属楼 小区安静 带电梯南北两居室,70.7平米,915,"129,421元/平"
西城 文联宿舍 电梯3居 看房方便,80.6平米,1250,"155,087元/平"
凯迪尚府  2012年商品房  精装修  业主诚心出售,85.95平米,1325,"154,160元/平"
新街口七条15号院 近地铁 小两居,48.1平米,570,"118,504元/平"
西城区 南北通透 满五年 低楼层 临地铁和莲花池公园,57.74平米,488,"84,517元/平"
乐城满五年唯一商品房三居室，西南向，高楼层,105.81平米,940,"88,839元/平"
贵都国际 1室1厅 东南,133.55平米,520,"38,937元/平"
长椿街地铁 精装修  中高楼层 电梯直达 东南三居室,87.86平米,980,"111,542元/平"
壹甁   南边纵观陶然亭公园，户型方正四居室,188.27平米,3125,"165,986元/平"
新明嘉园 南北向三居室 2000年建成 精装修,103.1平米,730,"70,806元/平"
陶然亭 万和世家 04年商品房 满五年唯一 看房有钥匙,136.85平米,2000,"146,146元/平"
新外大街甲8号院优质三居室，南北通透,89.8平米,1050,"116,927元/平"
物资部大院  南北通透四居室  满五唯一商品房,114平米,1590,"139,474元/平"
西城德胜门 03年安德馨居 满五唯一两南一北三居,90.25平米,1360,"150,693元/平"
视野好 改善大三居 观景房 客厅大 西向对着莲花河边！,156.81平米,1200,"76,526元/平"
西单 西绒线 满五年唯一住房，采光好 楼龄新 使用率高,139.94平米,1360,"97,185元/平"
北礼士路南区   南北3居室  好楼层 楼龄新,80.1平米,880,"109,863元/平"
区域聚焦 总监力荐 德外大街乙12号院 南北通透3居室,71.1平米,1082,"152,181元/平"
馨莲茗园 精装一居室无遮挡 光线好 诚心出售 满五唯一,64.28平米,550,"85,564元/平"
2000年  西城教委  低楼层 满五唯一只有契税,95.1平米,1588,"166,983元/平"
白广路二条4号院  单独一个院，诚意出售，随时签约,85.63平米,650,"75,908元/平"
宣武门西大街南区 满五唯一 南北两居,50.85平米,499,"98,132元/平"
白广路西里小区  东西通透  无遮挡  中间楼层 楼龄新,57.21平米,610,"106,625元/平"
建功北里四区 电梯直达 东向一居室 户型方正 随时签约,48.15平米,499,"103,635元/平"
宣武门西大街  双南朝向无遮挡 满五唯一 近地铁,57.16平米,580,"101,470元/平"
